,person_id,person_url,filepath,disclosure_year,notes,date_created,date_modified,type,agreement_id,agree_date_raw,parties_and_terms,agree_redacted,gift_id,gift_source,gift_description,gift_value,gift_redacted,investment_id,inv_description,inv_redacted,income_during_reporting_period_code,income_during_reporting_period_type,gross_value_code,gross_value_method,transaction_during_reporting_period,transaction_date_raw,transaction_date,transaction_value_code,transaction_gain_code,transaction_partner,inv_has_inferred_values,non_investment_income_id,non_inv_date_raw,non_inv_source_type,non_inv_income_amount,non_inv_redacted,position_id,position,organization_name,position_redacted,reimbursement_id,reimb_source,reimb_location,reimb_purpose,items_paid_or_provided,reimb_redacted,spouse_income_id,sp_inc_source_type,sp_inc_date_raw,sp_inc_redacted
228722,3144,https://www.courtlistener.com/api/rest/v4/people/3144/,https://storage.courtlistener.com/us/federal/judicial/financial-disclosures/3144/laura-taylor-swain-disclosure.2003.pdf,2003,"(Part VII, line 29) The investments of this profit sharing plan are not participant-directed and the positions held by the plan are not reported in the

statements issued $0 participants.

(Part VI, line 32) This money market account was closed, and the proceeds distributed to beneficiaries of the estate, on May 6, 2002. The value code for

the transaction was L.",2021-02-09,2021-02-09,agreement,21611.0,595,"ee ee EER ET Debevoise & Plimpton Staff Pension Plan (frar law firm), no control ———— a rr—r——————————————————————————————————",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228723,3144,https://www.courtlistener.com/api/rest/v4/people/3144/,https://storage.courtlistener.com/us/federal/judicial/financial-disclosures/3144/laura-taylor-swain-disclosure.2003.pdf,2003,"(Part VII, line 29) The investments of this profit sharing plan are not participant-directed and the positions held by the plan are not reported in the

statements issued $0 participants.

(Part VI, line 32) This money market account was closed, and the proceeds distributed to beneficiaries of the estate, on May 6, 2002. The value code for

the transaction was L.",2021-02-09,2021-02-09,investment,,,,,,,,,,4742068.0,Barclays Bank PLC - Account,False,A,Interest,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
228724,3144,https://www.courtlistener.com/api/rest/v4/people/3144/,https://storage.courtlistener.com/us/federal/judicial/financial-disclosures/3144/laura-taylor-swain-disclosure.2003.pdf,2003,"(Part VII, line 29) The investments of this profit sharing plan are not participant-directed and the positions held by the plan are not reported in the

statements issued $0 participants.

(Part VI, line 32) This money market account was closed, and the proceeds distributed to beneficiaries of the estate, on May 6, 2002. The value code for

the transaction was L.",2021-02-09,2021-02-09,investment,,,,,,,,,,4742069.0,HSBC Bank (frmrly Republic Bank of NY) account,False,A,Interest,J,T,,,,,,,False,,,,,,,,,,,,,,,,,,,
228725,3144,https://www.courtlistener.com/api/rest/v4/people/3144/,https://storage.courtlistener.com/us/federal/judicial/financial-disclosures/3144/laura-taylor-swain-disclosure.2003.pdf,2003,"(Part VII, line 29) The investments of this profit sharing plan are not participant-directed and the positions held by the plan are not reported in the

statements issued $0 participants.

(Part VI, line 32) This money market account was closed, and the proceeds distributed to beneficiaries of the estate, on May 6, 2002. The value code for

the transaction was L.",2021-02-09,2021-02-09,investment,,,,,,,,,,4742070.0,Charles Schwab Rollover [RA,False,B,Int/Div,M,T,,,,,,,False,,,,,,,,,,,,,,,,,,,
228726,3144,https://www.courtlistener.com/api/rest/v4/people/3144/,https://storage.courtlistener.com/us/federal/judicial/financial-disclosures/3144/laura-taylor-swain-disclosure.2003.pdf,2003,"(Part VII, line 29) The investments of this profit sharing plan are not participant-directed and the positions held by the plan are not reported in the

statements issued $0 participants.

(Part VI, line 32) This money market account was closed, and the proceeds distributed to beneficiaries of the estate, on May 6, 2002. The value code for

the transaction was L.",2021-02-09,2021-02-09,investment,,,,,,,,,,4742071.0,Dreyfus Appreciation Fund,False,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
228727,3144,https://www.courtlistener.com/api/rest/v4/people/3144/,https://storage.courtlistener.com/us/federal/judicial/financial-disclosures/3144/laura-taylor-swain-disclosure.2003.pdf,2003,"(Part VII, line 29) The investments of this profit sharing plan are not participant-directed and the positions held by the plan are not reported in the

statements issued $0 participants.

(Part VI, line 32) This money market account was closed, and the proceeds distributed to beneficiaries of the estate, on May 6, 2002. The value code for

the transaction was L.",2021-02-09,2021-02-09,investment,,,,,,,,,,4742072.0,Strong Corp. Bond Fund,False,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
228728,3144,https://www.courtlistener.com/api/rest/v4/people/3144/,https://storage.courtlistener.com/us/federal/judicial/financial-disclosures/3144/laura-taylor-swain-disclosure.2003.pdf,2003,"(Part VII, line 29) The investments of this profit sharing plan are not participant-directed and the positions held by the plan are not reported in the

statements issued $0 participants.

(Part VI, line 32) This money market account was closed, and the proceeds distributed to beneficiaries of the estate, on May 6, 2002. The value code for

the transaction was L.",2021-02-09,2021-02-09,investment,,,,,,,,,,4742073.0,Scudder Growth & Income Fund,False,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
228729,3144,https://www.courtlistener.com/api/rest/v4/people/3144/,https://storage.courtlistener.com/us/federal/judicial/financial-disclosures/3144/laura-taylor-swain-disclosure.2003.pdf,2003,"(Part VII, line 29) The investments of this profit sharing plan are not participant-directed and the positions held by the plan are not reported in the

statements issued $0 participants.

(Part VI, line 32) This money market account was closed, and the proceeds distributed to beneficiaries of the estate, on May 6, 2002. The value code for

the transaction was L.",2021-02-09,2021-02-09,investment,,,,,,,,,,4742074.0,Neuberger & Barman Socially Resp. Fund,False,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
228730,3144,https://www.courtlistener.com/api/rest/v4/people/3144/,https://storage.courtlistener.com/us/federal/judicial/financial-disclosures/3144/laura-taylor-swain-disclosure.2003.pdf,2003,"(Part VII, line 29) The investments of this profit sharing plan are not participant-directed and the positions held by the plan are not reported in the

statements issued $0 participants.

(Part VI, line 32) This money market account was closed, and the proceeds distributed to beneficiaries of the estate, on May 6, 2002. The value code for

the transaction was L.",2021-02-09,2021-02-09,investment,,,,,,,,,,4742075.0,PHBG Select Growth (frmrly Equity) Fund,False,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
228731,3144,https://www.courtlistener.com/api/rest/v4/people/3144/,https://storage.courtlistener.com/us/federal/judicial/financial-disclosures/3144/laura-taylor-swain-disclosure.2003.pdf,2003,"(Part VII, line 29) The investments of this profit sharing plan are not participant-directed and the positions held by the plan are not reported in the

statements issued $0 participants.

(Part VI, line 32) This money market account was closed, and the proceeds distributed to beneficiaries of the estate, on May 6, 2002. The value code for

the transaction was L.",2021-02-09,2021-02-09,investment,,,,,,,,,,4742076.0,Neuberger & Berman Genesis Fund,False,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
